No,Test_ID,Test_Label,Section Types,Sections,L,t,h,b,A,Pt,BC,Failure Mode,FM,Py,Fy,Pt/Py,"P(crl_s,crd_s)",KL_r,λc,Pne,λ(le-d),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,3_11,FFC-2-1800-L/10,C-2U,Closed,1799.94,1.5,65.15,55.06,510.06,120.15,Fixed,L,L,192.55,377.50,0.62,62.61,41.84,0.59,166.58,1.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,3_12,FFC-2-1800-L/8,C-2U,Closed,1799.6,1.5,64.89,55.01,510.06,118.87,Fixed,L,L,192.55,377.50,0.62,63.61,41.83,0.60,165.91,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,3_13,FFC-2-1800-L/6,C-2U,Closed,1800.06,1.5,65,55.11,510.06,104.81,Fixed,L,L,192.55,377.50,0.54,64.61,41.84,0.62,164.29,1.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,3_14,FFC-2-1800-L/4,C-2U,Closed,1800.15,1.5,64.95,55.02,510.06,98.59,Fixed,L,L,192.55,377.50,0.51,65.61,41.84,0.67,159.95,1.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,3_15,FFC-2-1800-L/2,C-2U,Closed,1800.16,1.5,64.96,55.06,510.06,77.78,Fixed,L,L,192.55,377.50,0.40,66.61,41.84,0.89,138.25,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,3_16,FFC-3-1800-L/4,C-2U,Closed,1800.7,1.5,50.09,64.91,525.06,96.78,Fixed,L,L,198.21,377.50,0.49,49.17,37.98,0.59,171.03,1.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,3_17,FFC-3-1800-L/2,C-2U,Closed,1799.9,1.5,50.13,65.01,525.06,80.18,Fixed,L,L,198.21,377.50,0.40,49.17,37.96,0.78,154.01,1.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,3_18,FFC-3-1200-L/8,C-2U,Closed,1199.8,1.5,50,65.05,525.06,111.07,Fixed,L,L,198.21,377.50,0.56,49.17,25.30,0.36,187.80,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,3_19,FFC-3-1200-L/6,C-2U,Closed,1200.1,1.5,50.02,65.03,525.06,91.62,Fixed,L,L,198.21,377.50,0.46,49.17,25.31,0.37,187.23,1.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,3_20,FFC-4-1800-L/10,C-2U,Closed,1800.12,1.5,50,58.02,483.07,107.19,Fixed,L,L,182.36,377.50,0.59,55.77,41.73,0.59,158.00,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,3_21,FFC-4-1800-L/8,C-2U,Closed,1799.78,1.5,50.01,58.06,483.07,99,Fixed,L,L,182.36,377.50,0.54,56.77,41.72,0.59,157.37,1.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,3_22,FFC-4-1800-L/6,C-2U,Closed,1800.06,1.5,50.05,57.96,483.07,95.86,Fixed,L,L,182.36,377.50,0.53,57.77,41.73,0.61,156.05,1.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,3_23,FFC-4-1200-L/10,C-2U,Closed,1200.06,1.5,50.89,57.95,483.07,111.54,Fixed,L,L,182.36,377.50,0.61,58.77,27.82,0.39,171.05,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,3_24,FFC-4-1200-L/4,C-2U,Closed,1200.12,1.5,50.02,57.91,483.07,110.26,Fixed,L,L,182.36,377.50,0.60,59.77,27.82,0.44,168.34,1.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3_25,FFC-4-1200-L/2,C-2U,Closed,1200,1.5,50.98,58.11,483.07,85.87,Fixed,L,L,182.36,377.50,0.47,60.77,27.82,0.58,158.62,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3_26,FFC-5-1800-L/10,C-2U,Closed,1800.01,1.5,50.01,50.05,435.06,96.91,Fixed,L,L,164.24,377.51,0.59,66.32,47.15,0.66,136.60,1.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3_27,FFC-5-1800-L/6,C-2U,Closed,1800.06,1.5,50.02,49.91,435.06,83.62,Fixed,L,L,164.24,377.51,0.51,67.32,44.80,0.66,136.66,1.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3_28,FFC-5-1800-L/2,C-2U,Closed,1800.01,1.5,50.06,49.95,435.06,69.27,Fixed,L,L,164.24,377.51,0.42,68.32,42.67,0.95,112.38,1.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3_29,FFC-5-1000-L/10,C-2U,Closed,1000.02,1.5,49.92,50.01,435.06,102.86,Fixed,L,L,164.24,377.51,0.63,69.32,22.64,0.32,157.30,1.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3_30,FFC-5-1000-L/6,C-2U,Closed,999.85,1.5,50.01,49.98,435.06,103.41,Fixed,L,L,164.24,377.51,0.63,70.32,21.65,0.33,157.01,1.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
